Date/Time,Word Count,de,en,es-ES,fr,it,ja,ko-KR,pl,pt-BR,ru
2023.05.20-14.38.48,75,0,75,0,0,0,0,0,0,0,0
2023.05.20-14.49.14,77,0,77,0,0,0,0,0,0,0,0
2023.05.21-09.21.01,34,0,34,0,0,0,0,0,0,0,0
2023.05.21-09.25.08,10,0,10,0,0,0,0,0,0,0,0
2023.05.21-09.32.47,8,0,8,0,0,0,0,0,0,0,0
2023.05.21-09.33.48,0,0,0,0,0,0,0,0,0,0,0
2023.05.21-09.34.56,72,0,72,0,0,0,0,0,0,0,0
2023.05.21-09.46.24,72,70,72,0,0,0,0,0,0,0,0
2023.05.21-10.01.29,64,49,64,0,0,0,0,0,0,0,0
2023.05.21-10.03.10,64,62,64,0,0,0,0,0,0,0,0
2023.05.23-19.25.15,129,62,129,0,0,0,0,0,0,0,0
2023.06.03-01.29.54,207,62,207,0,0,0,0,0,0,0,0
2023.06.03-01.35.16,205,62,205,0,0,0,0,0,0,0,0
2023.06.03-01.48.19,204,62,204,0,0,0,0,0,0,0,0
2023.06.03-01.50.17,200,62,200,0,0,0,0,0,0,0,0
